,Filename,Scale_label,Scale_value,Movement_label,Movement_value
0,/bigdata/digbose92/MovieNet/trailer/tt5022424/shot_0024.mp4,FS,3,Static,4
1,/bigdata/digbose92/MovieNet/trailer/tt5022424/shot_0021.mp4,MS,2,Motion,0
2,/bigdata/digbose92/MovieNet/trailer/tt5022424/shot_0060.mp4,MS,2,Static,4
3,/bigdata/digbose92/MovieNet/trailer/tt5022424/shot_0042.mp4,MS,2,Static,4
4,/bigdata/digbose92/MovieNet/trailer/tt5022424/shot_0009.mp4,FS,3,Motion,0
5,/bigdata/digbose92/MovieNet/trailer/tt3044244/shot_0045.mp4,ECS,0,Static,4
6,/bigdata/digbose92/MovieNet/trailer/tt3044244/shot_0042.mp4,ECS,0,Static,4
7,/bigdata/digbose92/MovieNet/trailer/tt3044244/shot_0002.mp4,MS,2,Motion,0
8,/bigdata/digbose92/MovieNet/trailer/tt3044244/shot_0025.mp4,FS,3,Static,4
9,/bigdata/digbose92/MovieNet/trailer/tt3044244/shot_0004.mp4,MS,2,Motion,0
10,/bigdata/digbose92/MovieNet/trailer/tt3044244/shot_0056.mp4,ECS,0,Motion,0
11,/bigdata/digbose92/MovieNet/trailer/tt3044244/shot_0032.mp4,ECS,0,Motion,0
12,/bigdata/digbose92/MovieNet/trailer/tt2914740/shot_0012.mp4,FS,3,Static,4
13,/bigdata/digbose92/MovieNet/trailer/tt2914740/shot_0007.mp4,CS,1,Static,4
14,/bigdata/digbose92/MovieNet/trailer/tt3759370/shot_0040.mp4,CS,1,Static,4
15,/bigdata/digbose92/MovieNet/trailer/tt3759370/shot_0012.mp4,CS,1,Motion,0
16,/bigdata/digbose92/MovieNet/trailer/tt3759370/shot_0009.mp4,MS,2,Static,4
17,/bigdata/digbose92/MovieNet/trailer/tt3759370/shot_0037.mp4,ECS,0,Static,4
18,/bigdata/digbose92/MovieNet/trailer/tt4635936/shot_0055.mp4,CS,1,Static,4
19,/bigdata/digbose92/MovieNet/trailer/tt4635936/shot_0006.mp4,CS,1,Static,4
