,Unnamed: 0,Filename,Scale_label,Scale_value,Movement_label,Movement_value,Split
0,0,/bigdata/digbose92/MovieNet/trailer/tt5022424/shot_0024.mp4,FS,3.0,Static,4,train
1,1,/bigdata/digbose92/MovieNet/trailer/tt5022424/shot_0021.mp4,MS,2.0,Motion,0,train
2,2,/bigdata/digbose92/MovieNet/trailer/tt5022424/shot_0060.mp4,MS,2.0,Static,4,train
3,3,/bigdata/digbose92/MovieNet/trailer/tt5022424/shot_0042.mp4,MS,2.0,Static,4,train
4,4,/bigdata/digbose92/MovieNet/trailer/tt5022424/shot_0009.mp4,FS,3.0,Motion,0,train
5,5,/bigdata/digbose92/MovieNet/trailer/tt3044244/shot_0045.mp4,ECS,0.0,Static,4,train
6,6,/bigdata/digbose92/MovieNet/trailer/tt3044244/shot_0042.mp4,ECS,0.0,Static,4,val
7,7,/bigdata/digbose92/MovieNet/trailer/tt3044244/shot_0002.mp4,MS,2.0,Motion,0,train
8,8,/bigdata/digbose92/MovieNet/trailer/tt3044244/shot_0025.mp4,FS,3.0,Static,4,train
9,9,/bigdata/digbose92/MovieNet/trailer/tt3044244/shot_0004.mp4,MS,2.0,Motion,0,train
10,10,/bigdata/digbose92/MovieNet/trailer/tt3044244/shot_0056.mp4,ECS,0.0,Motion,0,val
11,11,/bigdata/digbose92/MovieNet/trailer/tt3044244/shot_0032.mp4,ECS,0.0,Motion,0,val
12,12,/bigdata/digbose92/MovieNet/trailer/tt2914740/shot_0012.mp4,FS,3.0,Static,4,test
13,13,/bigdata/digbose92/MovieNet/trailer/tt2914740/shot_0007.mp4,CS,1.0,Static,4,val
14,14,/bigdata/digbose92/MovieNet/trailer/tt3759370/shot_0040.mp4,CS,1.0,Static,4,train
15,15,/bigdata/digbose92/MovieNet/trailer/tt3759370/shot_0012.mp4,CS,1.0,Motion,0,train
16,16,/bigdata/digbose92/MovieNet/trailer/tt3759370/shot_0009.mp4,MS,2.0,Static,4,test
17,17,/bigdata/digbose92/MovieNet/trailer/tt3759370/shot_0037.mp4,ECS,0.0,Static,4,val
18,18,/bigdata/digbose92/MovieNet/trailer/tt4635936/shot_0055.mp4,CS,1.0,Static,4,val
19,19,/bigdata/digbose92/MovieNet/trailer/tt4635936/shot_0006.mp4,CS,1.0,Static,4,val
20,20,/bigdata/digbose92/MovieNet/trailer/tt4635936/shot_0059.mp4,ECS,0.0,Static,4,train
21,21,/bigdata/digbose92/MovieNet/trailer/tt4635936/shot_0107.mp4,CS,1.0,Static,4,train
22,22,/bigdata/digbose92/MovieNet/trailer/tt4635936/shot_0031.mp4,CS,1.0,Static,4,train
23,23,/bigdata/digbose92/MovieNet/trailer/tt3841866/shot_0022.mp4,MS,2.0,Static,4,train
24,24,/bigdata/digbose92/MovieNet/trailer/tt3841866/shot_0025.mp4,CS,1.0,Static,4,train
25,25,/bigdata/digbose92/MovieNet/trailer/tt3841866/shot_0004.mp4,FS,3.0,Motion,0,train
26,26,/bigdata/digbose92/MovieNet/trailer/tt3841866/shot_0034.mp4,CS,1.0,Motion,0,train
27,27,/bigdata/digbose92/MovieNet/trailer/tt3841866/shot_0005.mp4,LS,4.0,Static,4,train
28,28,/bigdata/digbose92/MovieNet/trailer/tt2336960/shot_0027.mp4,MS,2.0,Static,4,train
29,29,/bigdata/digbose92/MovieNet/trailer/tt2336960/shot_0066.mp4,ECS,0.0,Motion,0,train
30,30,/bigdata/digbose92/MovieNet/trailer/tt2336960/shot_0055.mp4,CS,1.0,Static,4,train
31,31,/bigdata/digbose92/MovieNet/trailer/tt2336960/shot_0062.mp4,LS,4.0,Static,4,train
